date,VALUE
1994-01-01,105.2
1994-02-01,104.66
1994-03-01,104.78
1994-04-01,104.68
1994-05-01,103.78
1994-06-01,103.41
1994-07-01,102.02
1994-08-01,101.74
1994-09-01,100.59
1994-10-01,99.78
1994-11-01,100.01
1994-12-01,102.21
1995-01-01,104.47
1995-02-01,103.56
1995-03-01,102.11
1995-04-01,98.05
1995-05-01,97.53
1995-06-01,97.59
1995-07-01,97.55
1995-08-01,100.0
1995-09-01,101.16
1995-10-01,101.16
1995-11-01,102.29
1995-12-01,102.5
1996-01-01,103.02
1996-02-01,103.0
1996-03-01,103.06
1996-04-01,102.87
1996-05-01,103.0
1996-06-01,103.36
1996-07-01,103.42
1996-08-01,102.69
1996-09-01,103.06
1996-10-01,103.7
1996-11-01,103.22
1996-12-01,103.83
1997-01-01,104.71
1997-02-01,106.49
1997-03-01,107.49
1997-04-01,107.74
1997-05-01,106.19
1997-06-01,105.82
1997-07-01,106.95
1997-08-01,108.77
1997-09-01,108.94
1997-10-01,109.49
1997-11-01,111.3
1997-12-01,114.82
1998-01-01,117.66
1998-02-01,115.88
1998-03-01,115.4
1998-04-01,115.19
1998-05-01,116.02
1998-06-01,118.57
1998-07-01,119.09
1998-08-01,121.17
1998-09-01,119.1
1998-10-01,115.56
1998-11-01,115.19
1998-12-01,114.12
1999-01-01,114.17
1999-02-01,115.39
1999-03-01,116.82
1999-04-01,116.44
1999-05-01,116.15
1999-06-01,116.82
1999-07-01,117.19
1999-08-01,115.87
1999-09-01,115.11
1999-10-01,114.63
1999-11-01,114.88
1999-12-01,114.76
2000-01-01,114.54
2000-02-01,116.2
2000-03-01,116.9
2000-04-01,117.45
2000-05-01,120.23
2000-06-01,119.3
2000-07-01,119.54
2000-08-01,120.18
2000-09-01,121.41
2000-10-01,123.27
2000-11-01,123.89
2000-12-01,122.55
2001-01-01,123.09
2001-02-01,124.09
2001-03-01,126.11
2001-04-01,127.04
2001-05-01,126.86
2001-06-01,127.79
2001-07-01,128.17
2001-08-01,125.96
2001-09-01,126.47
2001-10-01,126.81
2001-11-01,127.42
2001-12-01,126.91
2002-01-01,128.23
2002-02-01,129.02
2002-03-01,128.72
2002-04-01,128.43
2002-05-01,126.64
2002-06-01,125.18
2002-07-01,123.5
2002-08-01,124.97
2002-09-01,125.56
2002-10-01,126.46
2002-11-01,124.86
2002-12-01,123.75
2003-01-01,122.13
2003-02-01,122.52
2003-03-01,122.35
2003-04-01,121.15
2003-05-01,116.83
2003-06-01,116.81
2003-07-01,118.08
2003-08-01,119.69
2003-09-01,118.38
2003-10-01,115.66
2003-11-01,114.83
2003-12-01,112.86
2004-01-01,111.25
2004-02-01,112.04
2004-03-01,113.52
2004-04-01,114.35
2004-05-01,116.59
2004-06-01,115.8
2004-07-01,114.71
2004-08-01,114.8
2004-09-01,114.14
2004-10-01,112.77
2004-11-01,109.64
2004-12-01,107.86
2005-01-01,108.67
2005-02-01,108.89
2005-03-01,108.79
2005-04-01,110.28
2005-05-01,110.57
2005-06-01,111.89
2005-07-01,112.61
2005-08-01,111.45
2005-09-01,112.13
2005-10-01,113.43
2005-11-01,113.37
2005-12-01,111.98
2006-01-01,110.94
2006-02-01,111.11
2006-03-01,111.79
2006-04-01,111.47
2006-05-01,109.49
2006-06-01,111.21
2006-07-01,111.17
2006-08-01,110.36
2006-09-01,109.91
2006-10-01,109.67
2006-11-01,108.35
2006-12-01,107.07
2007-01-01,108.5
2007-02-01,108.24
2007-03-01,108.35
2007-04-01,107.23
2007-05-01,106.78
2007-06-01,106.66
2007-07-01,105.02
2007-08-01,104.98
2007-09-01,103.47
2007-10-01,101.23
2007-11-01,99.71
2007-12-01,100.17
2008-01-01,99.55
2008-02-01,98.19
2008-03-01,96.69
2008-04-01,96.42
2008-05-01,97.15
2008-06-01,97.77
2008-07-01,97.19
2008-08-01,99.15
2008-09-01,101.24
2008-10-01,106.94
2008-11-01,108.05
2008-12-01,106.25
2009-01-01,107.34
2009-02-01,110.25
2009-03-01,110.89
2009-04-01,108.28
2009-05-01,105.24
2009-06-01,104.83
2009-07-01,104.37
2009-08-01,102.92
2009-09-01,102.02
2009-10-01,100.56
2009-11-01,99.87
2009-12-01,99.8
2010-01-01,100.11
2010-02-01,101.03
2010-03-01,100.47
2010-04-01,99.91
2010-05-01,102.9
2010-06-01,103.64
2010-07-01,101.85
2010-08-01,100.8
2010-09-01,99.6
2010-10-01,96.41
2010-11-01,96.35
2010-12-01,96.93
2011-01-01,95.98
2011-02-01,95.2
2011-03-01,94.77
2011-04-01,93.53
2011-05-01,93.72
2011-06-01,93.69
2011-07-01,93.06
2011-08-01,93.56
2011-09-01,96.07
2011-10-01,96.65
2011-11-01,97.04
2011-12-01,97.4
2012-01-01,97.07
2012-02-01,95.5
2012-03-01,96.36
2012-04-01,96.75
2012-05-01,98.48
2012-06-01,99.88
2012-07-01,99.22
2012-08-01,98.53
2012-09-01,97.04
